Time,Average
0,0.0
2,0.0
4,0.002
6,0.01
8,0.001
10,0.101
12,0.213
14,0.363
16,0.712
18,0.92
20,0.841
22,0.854
24,0.902
26,0.853
28,0.812
30,0.9083
32,0.7886
34,0.898
36,0.825
38,0.838
40,0.912
42,0.6539
44,0.565
46,0.5286
48,0.3783333333333333
50,0.53
52,0.463
54,0.561
56,0.272
58,0.356
60,0.373
62,0.422
64,0.374
66,0.342
68,0.413
70,0.121
