Time,Average
0,0.0
1,0.0
2,0.0
4,0.0
5,0.3046
6,0.634
7,0.7408
8,0.762
9,0.7928
10,0.7782
11,0.7289999999999999
12,0.6328
14,0.6125999999999999
15,0.3466
16,0.562
17,0.6262000000000001
18,0.6205999999999999
19,0.7809999999999999
20,0.818
21,0.23659999999999998
22,0.5616
23,0.6661999999999999
24,0.6022000000000001
25,0.5466
26,0.9103999999999999
27,0.6214000000000001
28,0.8792
29,0.7758
30,0.33540000000000003
31,0.7423
32,0.8160000000000001
33,0.7898
34,0.8277999999999999
35,0.7614
36,0.7253999999999999
37,0.7734
38,0.8164
39,0.7586
40,0.7198
41,0.7323999999999999
42,0.8654
43,0.7766
44,0.7888
45,0.49440000000000006
46,0.7747999999999999
47,0.7114
48,0.7285999999999999
49,0.9920000000000002
50,0.39840000000000003
51,0.845
52,0.886
53,0.8812000000000001
54,0.9949999999999999
55,0.9412
56,0.9288000000000001
57,0.6964
58,0.6974
59,0.7474000000000001
60,0.7376
61,0.5539999999999999
62,0.7398
63,0.6048
64,0.607
65,0.1115
66,0.0
67,0.0
69,0.0
70,0.0
71,0.0
