Time,Average
0,0.0
1,0.0
2,0.0
4,0.0
5,0.19180000000000003
6,0.4433999999999999
7,0.40199999999999997
8,0.5208
9,0.39325000000000004
10,0.25125
11,0.4583333333333333
12,0.3323333333333333
13,0.34875
14,0.4043333333333334
15,0.34975
16,0.48700000000000004
17,0.297
18,0.31275000000000003
19,0.27
20,0.34650000000000003
21,0.50775
22,0.297
23,0.3033333333333333
24,0.21233333333333335
25,0.18166666666666664
26,0.247
27,0.2996666666666667
28,0.291
29,0.2648333333333333
30,0.287
31,0.2906666666666667
32,0.22983333333333333
33,0.20066666666666666
34,0.33416666666666667
35,0.24850000000000003
37,0.31266666666666665
38,0.1512
39,0.328
40,0.3028
41,0.34933333333333333
42,0.2695
43,0.2295
44,0.29916666666666664
45,0.2708333333333333
46,0.24183333333333334
47,0.3326
48,0.23516666666666666
49,0.34879999999999994
50,0.2715
51,0.27016666666666667
52,0.27366666666666667
53,0.38316666666666666
54,0.2178
55,0.2165
56,0.31116666666666665
57,0.29383333333333334
58,0.25183333333333335
59,0.2796666666666667
60,0.221
61,0.3405
62,0.25866666666666666
63,0.24966666666666668
64,0.31483333333333335
65,0.17833333333333334
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
