Time,Average
0,0.0
1,0.0
2,0.0
4,0.0
5,0.3348
6,0.391
7,0.5972
8,0.33814285714285713
9,0.4145714285714286
10,0.3045714285714286
11,0.5439999999999999
12,0.3272
13,0.6612
14,0.47814285714285715
15,0.5297142857142857
16,0.238875
17,0.387875
18,0.29787500000000006
19,0.40937500000000004
20,0.40237500000000004
21,0.3481111111111111
22,0.4364444444444444
23,0.3045555555555555
24,0.39866666666666667
25,0.33787500000000004
26,0.4372
27,0.326375
28,0.2277142857142857
29,0.22210000000000002
30,0.2676
31,0.2987
32,0.26259999999999994
33,0.2626
34,0.3162
35,0.3018
36,0.1958
37,0.17160000000000003
38,0.3262
39,0.20420000000000002
40,0.37220000000000003
41,0.27819999999999995
42,0.3323999999999999
43,0.3787999999999999
44,0.2962
45,0.3242
46,0.25749999999999995
47,0.3184
48,0.3781
49,0.3021
50,0.3741
51,0.25739999999999996
52,0.26999999999999996
53,0.2327
54,0.35409999999999997
55,0.1972
56,0.21479999999999996
57,0.3256
58,0.31870000000000004
59,0.3708
60,0.33469999999999994
62,0.36069999999999997
63,0.36290000000000006
64,0.35270000000000007
65,0.163
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
