Time,Average
0,0.0
1,0.0
2,0.0
4,0.0
5,0.28425
6,0.7974444444444444
7,0.8741111111111111
8,0.7730000000000001
9,0.47188888888888886
10,0.5377777777777779
11,0.7811111111111111
12,0.9342222222222224
13,0.554
14,0.4984444444444444
15,0.6075555555555554
16,0.5672222222222223
17,0.749
18,0.9174444444444444
19,0.759
20,0.9501111111111111
21,0.3418888888888889
22,0.7744444444444444
23,0.5567777777777778
24,0.8997777777777777
25,0.49077777777777776
26,0.8841111111111111
27,0.8791111111111112
28,0.5815555555555556
29,0.5812222222222222
30,0.4692222222222222
31,0.8032222222222222
32,0.7267777777777777
33,0.5788888888888889
34,0.9044444444444445
35,0.7354444444444445
36,0.5864444444444445
37,0.6709999999999999
38,0.5728888888888889
39,0.5098888888888888
40,0.5132222222222222
42,0.6125555555555555
43,0.5866666666666666
44,0.6463333333333332
45,0.6355555555555557
46,0.5785555555555555
47,0.5026666666666666
48,0.7078888888888888
49,0.703
50,0.5231111111111111
51,0.6955555555555555
52,0.6162222222222221
53,0.8161111111111111
54,0.594
55,0.6478888888888888
56,0.7367777777777778
57,0.5622222222222222
58,0.7226666666666666
59,0.515
60,0.7664444444444445
61,0.8475555555555556
62,0.5786666666666667
63,0.8264444444444444
64,0.7173333333333334
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
