Time,Average
0,0.0
1,0.0
2,0.0
3,0.0
4,0.152
5,0.2607777777777778
6,0.40218181818181814
7,0.343
8,0.34619999999999995
9,0.3952666666666667
10,0.4517857142857143
11,0.32600000000000007
12,0.3259285714285714
13,0.3779375
14,0.3735625
15,0.37825
16,0.3295384615384615
17,0.32984615384615384
18,0.322
19,0.3702857142857143
20,0.41825
21,0.3324375
22,0.34546153846153843
23,0.38156249999999997
24,0.31261538461538463
25,0.329
26,0.23831249999999998
27,0.3502
28,0.35968750000000005
29,0.3158125
30,0.31976923076923075
31,0.28107692307692306
32,0.3264666666666667
33,0.337
34,0.359875
35,0.30969230769230766
36,0.3362142857142857
37,0.29653846153846153
38,0.3259375
39,0.32966666666666666
40,0.3428461538461539
41,0.29300000000000004
42,0.326
43,0.312
44,0.3549999999999999
45,0.3525625
46,0.30224999999999996
47,0.32253333333333334
48,0.29868750000000005
49,0.29557142857142854
50,0.3457692307692308
51,0.31975000000000003
52,0.32707692307692304
53,0.3242307692307692
54,0.295125
55,0.32642857142857146
56,0.352125
57,0.32775
58,0.2795384615384615
59,0.33507692307692305
60,0.35126666666666667
61,0.33069230769230773
62,0.29768750000000005
63,0.3493333333333333
64,0.292625
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
