Time,Average
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.44020000000000004
6,0.5893333333333334
7,0.5831666666666666
8,0.4988333333333334
9,0.6016666666666667
10,0.6007142857142858
11,0.774
12,0.7071666666666667
13,0.862
14,0.7647142857142857
15,0.8388333333333333
16,0.831
17,0.8405
18,0.7755714285714285
19,0.7208571428571428
20,0.6988333333333333
21,0.7436666666666667
22,0.7118333333333333
23,0.8389999999999999
24,0.8732857142857143
25,0.7594285714285714
26,0.7245714285714286
27,0.708
28,0.7822857142857144
29,0.8951666666666667
30,0.87000000000000003
31,0.8828333333333333
32,0.5108571428571429
33,0.8642857142857143
34,0.9151666666666667
35,0.871
36,0.7041666666666668
37,0.7212857142857142
38,0.8393333333333333
39,0.8105
40,0.6168333333333333
41,0.743
42,0.7034
43,0.7175
44,0.6666
45,0.5456666666666666
46,0.673
47,0.6976666666666667
48,0.741
49,0.7315714285714285
50,0.77933333333333333
51,0.8235714285714287
52,0.9063333333333334
53,0.811
54,0.8796666666666667
55,0.7563333333333333
56,0.6148
57,0.5973333333333334
58,0.5461666666666666
59,0.566
60,0.5730000000000001
61,0.5816666666666667
62,0.5479999999999999
63,0.5632857142857143
64,0.5066666666666666
65,0.2796666666666667
66,0.0
67,0.0
68,0.0
69,0.0
