Time,Average
0,0.0
1,0.0
2,0.0
3,0.0
4,0.40425
5,0.791
6,0.48774999999999996
7,0.477
8,0.39766666666666667
9,0.864
10,0.6032500000000001
11,0.51
12,0.5217499999999999
13,0.4306666666666667
14,0.5822499999999999
15,0.7735000000000001
16,0.4033333333333333
17,0.52825
18,0.5225
19,0.47750000000000004
20,0.53
21,0.5335
22,0.538
23,0.56275
24,0.7015
25,0.5035
26,0.5137499999999999
27,0.49975
28,0.58575
29,0.4626666666666666
30,0.52325
31,0.5095000000000001
32,0.7004999999999999
33,0.4865
34,0.3753333333333333
35,0.52725
36,0.499
37,0.52275
38,0.7144999999999999
39,0.62025
40,0.5894999999999999
41,0.59425
42,0.53775
43,0.7845
44,0.43925
45,0.5185
46,0.5125
47,0.40233333333333327
48,0.7157499999999999
49,0.891
50,0.50425
51,0.5446666666666667
52,0.61625
53,0.58175
54,0.34299999999999997
55,0.41575
56,0.7415
57,0.4766666666666666
58,0.5005
59,0.507
60,0.5347500000000001
61,0.4126666666666667
62,0.56175
63,0.24533333333333332
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
