Time,Average
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.49820000000000003
6,0.5893333333333334
7,0.434
8,0.449125
9,0.641
10,0.5138571428571428
11,0.46611111111111114
12,0.4545
13,0.39699999999999996
14,0.48871428571428577
15,0.45933333333333337
16,0.5083
17,0.5274444444444444
18,0.4653333333333333
19,0.5545714285714286
20,0.5780000000000001
21,0.35433333333333333
22,0.5258571428571429
23,0.41733333333333333
24,0.437625
25,0.43522222222222223
26,0.4335
27,0.4953333333333334
28,0.544875
29,0.507
30,0.5698888888888889
31,0.4881428571428571
32,0.544875
33,0.5365000000000001
34,0.622
35,0.3842222222222222
36,0.6050000000000001
37,0.525
38,0.41059999999999997
39,0.4347
40,0.4418571428571429
41,0.497
42,0.4885
43,0.39944444444444444
44,0.5014285714285714
45,0.4391111111111111
46,0.3721
47,0.4407
48,0.46887500000000004
49,0.5566000000000001
50,0.5236
51,0.6128
52,0.28188888888888886
53,0.3786
54,0.38785714285714284
55,0.35419999999999996
56,0.3822222222222222
57,0.38670000000000004
58,0.3901111111111111
59,0.40342857142857147
60,0.3777777777777778
61,0.32212499999999994
62,0.3386
63,0.4098571428571428
64,0.133
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
