Time,Average
0,0.0
1,0.0
2,0.0
3,0.0
4,0.18766666666666665
5,0.2646
6,0.2175
7,0.2995
8,0.2834
9,0.3275
10,0.30925
11,0.238
12,0.2985
13,0.2766
14,0.238
15,0.2794
16,0.3
17,0.2854
18,0.235
19,0.29775
20,0.29100000000000004
21,0.2812
22,0.236
23,0.2822
24,0.30300000000000005
25,0.235
26,0.3028
27,0.34199999999999997
28,0.44299999999999995
29,0.296
30,0.288
31,0.267
32,0.28379999999999994
33,0.325
34,0.22399999999999998
35,0.43175
36,0.475
37,0.3295
38,0.499
39,0.45220000000000005
40,0.4145
41,0.4024
42,0.457
43,0.17233333333333334
44,0.33575
45,0.254
46,0.3034
47,0.2512
48,0.2595
49,0.2716
50,0.165
51,0.275
52,0.24
53,0.2552
54,0.24866666666666662
55,0.2394
56,0.3015
57,0.218
58,0.32
59,0.26
60,0.268
61,0.23049999999999998
62,0.24724999999999997
63,0.2175
64,0.17049999999999998
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
